"deal_id","customer_id","clean_stage","original_deal_value","clean_deal_value","clean_close_date"
DEAL-0001,CUST-042,Closed Lost,146000000,146000000,2024-03-06
DEAL-0002,CUST-049,Closed Won,82000000,82000000,2024-07-26
DEAL-0004,CUST-028,Closed Lost,250000000,250000000,2024-03-27
DEAL-0005,CUST-085,Closed Lost,0,0,2024-04-30
DEAL-0006,CUST-026,Closed Won,-15000000,,2024-05-05
DEAL-0007,CUST-099,Qualification,231000000,231000000,2024-10-21
DEAL-0008,CUST-064,Closed Lost,172000000,172000000,2024-01-03
DEAL-0009,CUST-014,Closed Lost,210000000,210000000,2024-09-22
DEAL-0010,CUST-016,Closed Lost,123000000,123000000,2024-09-28
DEAL-0011,CUST-097,Closed Lost,189000000,189000000,2024-09-15
DEAL-0012,CUST-058,Closed Won,126000000,126000000,2024-08-18
DEAL-0013,CUST-082,Closed Won,138000000,138000000,2024-09-05
DEAL-0014,CUST-010,Closed Won,90000000,90000000,2024-06-12
DEAL-0016,CUST-070,Closed Lost,57000000,57000000,2024-08-03
DEAL-0017,CUST-090,Prospecting,200000000,200000000,2024-10-21
DEAL-0019,CUST-078,Unknown,74000000,74000000,2024-08-11
DEAL-0020,CUST-086,Closed Lost,220000000,220000000,2024-08-27
DEAL-0021,CUST-069,Prospecting,156000000,156000000,2024-10-15
DEAL-0023,CUST-059,Closed Lost,230000000,230000000,2024-07-13
DEAL-0024,CUST-054,Closed Won,125000000,125000000,2024-01-10
DEAL-0026,CUST-026,Prospecting,66000000,66000000,2024-03-05
DEAL-0027,CUST-028,Closed Lost,201000000,201000000,2024-07-07
DEAL-0028,CUST-096,Qualification,46000000,46000000,2024-06-08
DEAL-0030,CUST-081,Unknown,202000000,202000000,2024-06-03
DEAL-0031,CUST-016,Prospecting,114000000,114000000,2024-07-08
DEAL-0032,CUST-002,Closed Lost,32000000,32000000,2024-08-09
DEAL-0033,CUST-059,Closed Won,192000000,192000000,2024-09-24
DEAL-0034,CUST-069,Closed Lost,216000000,216000000,2024-05-17
DEAL-0035,CUST-012,Closed Won,67000000,67000000,2024-08-25
DEAL-0036,CUST-044,Prospecting,88000000,88000000,2024-04-03
DEAL-0037,CUST-034,Closed Lost,157000000,157000000,2024-05-21
DEAL-0038,CUST-025,Qualification,109000000,109000000,2024-09-07
DEAL-0039,CUST-061,Closed Lost,9000000,9000000,2024-02-17
DEAL-0040,CUST-032,Closed Won,99000000,99000000,2024-08-30
DEAL-0041,CUST-096,Closed Lost,121000000,121000000,2024-05-18
DEAL-0042,CUST-093,Unknown,195000000,195000000,2024-10-01
DEAL-0043,CUST-025,Unknown,75000000,75000000,2024-09-25
DEAL-0044,CUST-025,Closed Won,50000000,50000000,2024-06-03
,CUST-036,Prospecting,146000000,146000000,2024-05-29
DEAL-0046,CUST-097,Closed Lost,8000000,8000000,2024-10-20
DEAL-0047,CUST-044,Closed Won,69000000,69000000,2024-09-01
DEAL-0049,CUST-039,Qualification,35000000,35000000,2024-10-12
DEAL-0050,CUST-080,Unknown,102000000,102000000,2024-08-18
DEAL-0051,CUST-076,Closed Lost,163000000,163000000,2024-01-31
DEAL-0052,CUST-098,Unknown,72000000,72000000,2024-02-11
DEAL-0053,CUST-010,Closed Won,-15000000,,2024-08-18
DEAL-0054,CUST-005,Unknown,77000000,77000000,2024-08-20
DEAL-0055,CUST-034,Unknown,144000000,144000000,2024-04-25
DEAL-0056,CUST-019,Qualification,0,0,2024-06-06
DEAL-0057,CUST-037,Closed Lost,181000000,181000000,2024-06-04
DEAL-0058,CUST-065,Closed Lost,158000000,158000000,2024-01-21
DEAL-0059,CUST-078,Closed Won,-15000000,,2024-04-27
DEAL-0060,CUST-074,Prospecting,177000000,177000000,2024-05-17
