"ticket_id","customer_id","clean_status","clean_category","clean_created_at"
TCK-0002,CUST-041,Open,Akses Akun,2024-08-18
TCK-0003,CUST-060,Closed,Akses Akun,2024-06-25
TCK-0004,CUST-017,Closed,Permintaan Fitur,2024-10-27
TCK-0005,CUST-024,In Progress,Kendala Tagihan,2024-09-14
TCK-0006,CUST-008,Closed,Kendala Tagihan,2024-03-19
TCK-0007,CUST-039,Open,Kendala Tagihan,2024-06-14
TCK-0008,CUST-091,In Progress,Kendala Tagihan,2024-09-22
TCK-0009,CUST-037,In Progress,Kendala Tagihan,2024-04-10
TCK-0010,CUST-082,In Progress,Permintaan Fitur,2024-03-05
TCK-0011,CUST-081,Closed,Bug Sistem,2024-09-30
TCK-0012,CUST-012,Closed,Permintaan Fitur,2024-03-27
TCK-0013,CUST-076,Open,Permintaan Fitur,2024-03-28
TCK-0014,CUST-085,Closed,Permintaan Fitur,2024-06-21
TCK-0016,CUST-011,Closed,Kendala Tagihan,2024-10-22
TCK-0017,CUST-034,Open,Akses Akun,2024-10-19
TCK-0018,CUST-054,Closed,Permintaan Fitur,2024-01-16
TCK-0019,CUST-064,Closed,Akses Akun,2024-05-28
TCK-0020,CUST-083,In Progress,Bug Sistem,2024-05-05
TCK-0022,CUST-059,Closed,Kendala Tagihan,2024-01-31
TCK-0023,CUST-021,In Progress,Bug Sistem,2024-09-04
TCK-0024,CUST-060,In Progress,Kendala Tagihan,2024-03-14
TCK-0025,CUST-041,In Progress,Akses Akun,2024-06-25
TCK-0026,CUST-052,Closed,Kendala Tagihan,2024-07-08
TCK-0027,CUST-066,Open,Permintaan Fitur,2024-06-12
TCK-0028,CUST-031,Open,Bug Sistem,2024-05-16
TCK-0029,CUST-058,Open,Kendala Tagihan,2024-02-19
TCK-0030,CUST-007,In Progress,Bug Sistem,2024-08-02
TCK-0031,CUST-032,Closed,Kendala Tagihan,2024-06-16
TCK-0032,CUST-074,In Progress,Akses Akun,2024-04-07
TCK-0033,CUST-098,In Progress,Kendala Tagihan,2024-09-20
TCK-0034,CUST-060,In Progress,Bug Sistem,2024-09-11
TCK-0035,CUST-003,In Progress,Kendala Tagihan,2024-09-15
TCK-0036,CUST-059,Open,Kendala Tagihan,2024-10-25
TCK-0037,CUST-046,Open,Kendala Tagihan,2024-05-24
TCK-0038,CUST-064,Closed,Permintaan Fitur,2024-08-28
TCK-0039,CUST-037,Open,Permintaan Fitur,2024-02-25
TCK-0040,CUST-056,In Progress,Kendala Tagihan,2024-07-06
TCK-0041,CUST-098,In Progress,Bug Sistem,2024-01-24
TCK-0042,CUST-052,Closed,Kendala Tagihan,2024-10-14
TCK-0043,CUST-025,Closed,Bug Sistem,2024-05-27
TCK-0044,CUST-010,Closed,Bug Sistem,2024-08-18
TCK-0045,CUST-098,In Progress,Permintaan Fitur,2024-03-01
TCK-0046,CUST-017,In Progress,Kendala Tagihan,2024-07-10
TCK-0048,CUST-097,Open,Kendala Tagihan,2024-09-17
TCK-0049,CUST-052,Open,Permintaan Fitur,2024-01-24
TCK-0050,CUST-005,Closed,Kendala Tagihan,2024-06-19
TCK-0052,CUST-020,Closed,Permintaan Fitur,2024-03-12
TCK-0053,CUST-042,In Progress,Permintaan Fitur,2024-03-24
TCK-0054,CUST-051,Closed,Permintaan Fitur,2024-06-02
TCK-0055,CUST-076,Closed,Bug Sistem,2024-09-17
TCK-0056,CUST-069,Closed,Bug Sistem,2024-10-15
TCK-0057,CUST-039,Closed,Bug Sistem,2024-01-09
TCK-0058,CUST-048,Closed,Bug Sistem,2024-02-26
TCK-0059,CUST-054,In Progress,Permintaan Fitur,2024-01-14
TCK-0060,CUST-077,In Progress,Bug Sistem,2024-10-23
TCK-0061,CUST-074,Closed,Kendala Tagihan,2024-01-27
TCK-0062,CUST-075,Open,Bug Sistem,2024-09-25
TCK-0063,CUST-081,Closed,Akses Akun,2024-07-13
TCK-0064,CUST-019,Open,Akses Akun,2024-01-17
TCK-0065,CUST-074,Open,Akses Akun,2024-04-07
TCK-0066,CUST-003,In Progress,Bug Sistem,2024-08-02
TCK-0067,CUST-020,Closed,Bug Sistem,2024-04-14
TCK-0068,CUST-053,Closed,Permintaan Fitur,2024-08-29
